localidad,año,temperatura
La Plata,2021,18.7
La Plata,2022,17.0
La Plata,2023,18.7
La Plata,2024,18.3
La Plata,2025,18.5
La Plata,2026,17.7
Mar del Plata,2021,16.4
Mar del Plata,2022,15.5
Mar del Plata,2023,15.6
Mar del Plata,2024,15.2
Mar del Plata,2025,15.8
Mar del Plata,2026,15.2
Bahía Blanca,2021,15.4
Bahía Blanca,2022,16.6
Bahía Blanca,2023,16.6
Bahía Blanca,2024,15.6
Bahía Blanca,2025,16.9
Bahía Blanca,2026,16.1
Tandil,2021,17.6
Tandil,2022,17.6
Tandil,2023,16.7
Tandil,2024,16.4
Tandil,2025,16.9
Tandil,2026,17.7
Pergamino,2021,18.5
Pergamino,2022,18.5
Pergamino,2023,19.8
Pergamino,2024,19.8
Pergamino,2025,19.5
Pergamino,2026,19.9
