localidad,año,temperatura
San Fernando del Valle de Catamarca,2021,17.9
San Fernando del Valle de Catamarca,2022,16.1
San Fernando del Valle de Catamarca,2023,16.8
San Fernando del Valle de Catamarca,2024,16.7
San Fernando del Valle de Catamarca,2025,18.2
San Fernando del Valle de Catamarca,2026,18.0
Belén,2021,19.7
Belén,2022,17.3
Belén,2023,18.3
Belén,2024,17.1
Belén,2025,17.7
Belén,2026,18.5
Tinogasta,2021,17.1
Tinogasta,2022,17.6
Tinogasta,2023,18.9
Tinogasta,2024,18.6
Tinogasta,2025,17.7
Tinogasta,2026,18.8
Recreo,2021,19.4
Recreo,2022,17.0
Recreo,2023,19.4
Recreo,2024,19.1
Recreo,2025,18.0
Recreo,2026,17.5
Andalgalá,2021,19.9
Andalgalá,2022,18.0
Andalgalá,2023,17.3
Andalgalá,2024,17.3
Andalgalá,2025,19.5
Andalgalá,2026,18.8
