localidad,año,temperatura
Resistencia,2021,20.5
Resistencia,2022,19.4
Resistencia,2023,20.7
Resistencia,2024,20.0
Resistencia,2025,20.9
Resistencia,2026,19.6
Presidencia Roque Sáenz Peña,2021,21.9
Presidencia Roque Sáenz Peña,2022,22.6
Presidencia Roque Sáenz Peña,2023,21.3
Presidencia Roque Sáenz Peña,2024,22.3
Presidencia Roque Sáenz Peña,2025,22.6
Presidencia Roque Sáenz Peña,2026,22.1
Barranqueras,2021,22.4
Barranqueras,2022,22.8
Barranqueras,2023,22.7
Barranqueras,2024,21.4
Barranqueras,2025,21.0
Barranqueras,2026,21.7
Villa Ángela,2021,22.8
Villa Ángela,2022,22.3
Villa Ángela,2023,22.0
Villa Ángela,2024,21.7
Villa Ángela,2025,22.6
Villa Ángela,2026,21.9
Charata,2021,20.2
Charata,2022,19.3
Charata,2023,19.2
Charata,2024,19.7
Charata,2025,20.0
Charata,2026,19.5
