localidad,año,temperatura
Rawson,2021,15.5
Rawson,2022,14.3
Rawson,2023,14.7
Rawson,2024,14.5
Rawson,2025,15.3
Rawson,2026,15.8
Comodoro Rivadavia,2021,13.2
Comodoro Rivadavia,2022,14.0
Comodoro Rivadavia,2023,14.0
Comodoro Rivadavia,2024,13.7
Comodoro Rivadavia,2025,13.6
Comodoro Rivadavia,2026,14.6
Trelew,2021,13.9
Trelew,2022,14.8
Trelew,2023,13.6
Trelew,2024,14.9
Trelew,2025,14.4
Trelew,2026,14.9
Esquel,2021,11.1
Esquel,2022,11.4
Esquel,2023,12.5
Esquel,2024,12.8
Esquel,2025,12.0
Esquel,2026,12.9
Puerto Madryn,2021,16.1
Puerto Madryn,2022,16.6
Puerto Madryn,2023,15.9
Puerto Madryn,2024,15.2
Puerto Madryn,2025,15.2
Puerto Madryn,2026,15.6
