localidad,año,temperatura
Corrientes,2021,21.2
Corrientes,2022,21.4
Corrientes,2023,22.6
Corrientes,2024,22.3
Corrientes,2025,21.9
Corrientes,2026,22.9
Goya,2021,22.0
Goya,2022,22.8
Goya,2023,21.0
Goya,2024,22.3
Goya,2025,21.9
Goya,2026,21.1
Mercedes,2021,20.4
Mercedes,2022,19.2
Mercedes,2023,19.4
Mercedes,2024,20.4
Mercedes,2025,20.2
Mercedes,2026,20.4
Curuzú Cuatiá,2021,21.2
Curuzú Cuatiá,2022,22.0
Curuzú Cuatiá,2023,22.8
Curuzú Cuatiá,2024,21.2
Curuzú Cuatiá,2025,21.9
Curuzú Cuatiá,2026,21.9
Paso de los Libres,2021,21.4
Paso de los Libres,2022,22.0
Paso de los Libres,2023,21.5
Paso de los Libres,2024,22.4
Paso de los Libres,2025,22.0
Paso de los Libres,2026,21.1
