localidad,año,temperatura
Córdoba,2021,19.9
Córdoba,2022,18.0
Córdoba,2023,19.5
Córdoba,2024,19.2
Córdoba,2025,18.8
Córdoba,2026,18.3
Villa Carlos Paz,2021,18.9
Villa Carlos Paz,2022,19.2
Villa Carlos Paz,2023,18.3
Villa Carlos Paz,2024,18.1
Villa Carlos Paz,2025,19.4
Villa Carlos Paz,2026,19.7
Río Cuarto,2021,18.9
Río Cuarto,2022,18.2
Río Cuarto,2023,18.9
Río Cuarto,2024,17.6
Río Cuarto,2025,17.4
Río Cuarto,2026,18.8
Villa María,2021,18.4
Villa María,2022,19.6
Villa María,2023,19.0
Villa María,2024,19.0
Villa María,2025,19.4
Villa María,2026,19.5
Marcos Juárez,2021,19.1
Marcos Juárez,2022,19.2
Marcos Juárez,2023,19.1
Marcos Juárez,2024,18.5
Marcos Juárez,2025,19.2
Marcos Juárez,2026,18.2
