localidad,año,temperatura
Paraná,2021,15.5
Paraná,2022,16.4
Paraná,2023,15.7
Paraná,2024,15.3
Paraná,2025,16.2
Paraná,2026,15.3
Concordia,2021,18.2
Concordia,2022,18.7
Concordia,2023,17.5
Concordia,2024,18.1
Concordia,2025,18.8
Concordia,2026,17.6
Gualeguaychú,2021,19.8
Gualeguaychú,2022,18.0
Gualeguaychú,2023,18.2
Gualeguaychú,2024,19.2
Gualeguaychú,2025,19.7
Gualeguaychú,2026,19.5
Villaguay,2021,17.5
Villaguay,2022,16.3
Villaguay,2023,17.5
Villaguay,2024,16.1
Villaguay,2025,16.7
Villaguay,2026,17.2
Basavilbaso,2021,17.5
Basavilbaso,2022,16.0
Basavilbaso,2023,17.4
Basavilbaso,2024,17.6
Basavilbaso,2025,16.8
Basavilbaso,2026,16.6
