localidad,año,temperatura
Formosa,2021,20.6
Formosa,2022,21.0
Formosa,2023,21.6
Formosa,2024,21.3
Formosa,2025,21.1
Formosa,2026,21.2
Clorinda,2021,21.6
Clorinda,2022,20.9
Clorinda,2023,20.6
Clorinda,2024,21.8
Clorinda,2025,21.8
Clorinda,2026,21.2
Pirané,2021,20.2
Pirané,2022,21.9
Pirané,2023,21.3
Pirané,2024,20.9
Pirané,2025,20.2
Pirané,2026,20.1
El Colorado,2021,20.5
El Colorado,2022,21.4
El Colorado,2023,21.3
El Colorado,2024,20.2
El Colorado,2025,21.7
El Colorado,2026,21.7
Ingeniero Juárez,2021,21.5
Ingeniero Juárez,2022,20.8
Ingeniero Juárez,2023,21.1
Ingeniero Juárez,2024,21.2
Ingeniero Juárez,2025,20.4
Ingeniero Juárez,2026,21.0
