localidad,año,temperatura
San Salvador de Jujuy,2021,17.9
San Salvador de Jujuy,2022,17.7
San Salvador de Jujuy,2023,17.1
San Salvador de Jujuy,2024,18.4
San Salvador de Jujuy,2025,16.6
San Salvador de Jujuy,2026,17.2
San Pedro de Jujuy,2021,19.5
San Pedro de Jujuy,2022,18.9
San Pedro de Jujuy,2023,19.6
San Pedro de Jujuy,2024,18.7
San Pedro de Jujuy,2025,19.1
San Pedro de Jujuy,2026,17.1
Ledesma,2021,18.2
Ledesma,2022,18.4
Ledesma,2023,17.7
Ledesma,2024,18.2
Ledesma,2025,17.8
Ledesma,2026,18.3
Humahuaca,2021,19.4
Humahuaca,2022,18.6
Humahuaca,2023,18.6
Humahuaca,2024,18.1
Humahuaca,2025,18.3
Humahuaca,2026,20.3
Tilcara,2021,19.4
Tilcara,2022,19.3
Tilcara,2023,18.0
Tilcara,2024,19.7
Tilcara,2025,18.0
Tilcara,2026,18.6
