localidad,año,temperatura
Santa Rosa,2021,17.5
Santa Rosa,2022,18.6
Santa Rosa,2023,17.4
Santa Rosa,2024,18.8
Santa Rosa,2025,18.2
Santa Rosa,2026,17.0
General Pico,2021,17.4
General Pico,2022,18.2
General Pico,2023,18.0
General Pico,2024,17.5
General Pico,2025,17.5
General Pico,2026,17.9
25 de Mayo,2021,17.6
25 de Mayo,2022,18.2
25 de Mayo,2023,17.1
25 de Mayo,2024,18.7
25 de Mayo,2025,18.9
25 de Mayo,2026,18.9
Macachín,2021,18.9
Macachín,2022,18.5
Macachín,2023,18.2
Macachín,2024,19.4
Macachín,2025,18.5
Macachín,2026,19.3
Quemú Quemú,2021,17.7
Quemú Quemú,2022,16.3
Quemú Quemú,2023,17.3
Quemú Quemú,2024,16.3
Quemú Quemú,2025,16.7
Quemú Quemú,2026,17.7
