localidad,año,temperatura
La Rioja,2021,13.4
La Rioja,2022,14.6
La Rioja,2023,14.2
La Rioja,2024,14.2
La Rioja,2025,13.2
La Rioja,2026,13.9
Chamical,2021,14.7
Chamical,2022,14.7
Chamical,2023,13.3
Chamical,2024,14.1
Chamical,2025,14.0
Chamical,2026,13.7
Villa Unión,2021,12.9
Villa Unión,2022,12.2
Villa Unión,2023,12.0
Villa Unión,2024,12.8
Villa Unión,2025,12.2
Villa Unión,2026,12.2
Chilecito,2021,13.9
Chilecito,2022,14.1
Chilecito,2023,14.2
Chilecito,2024,13.6
Chilecito,2025,14.4
Chilecito,2026,14.5
Anillaco,2021,13.2
Anillaco,2022,14.3
Anillaco,2023,13.7
Anillaco,2024,14.4
Anillaco,2025,13.6
Anillaco,2026,13.9
