localidad,año,temperatura
Mendoza,2021,18.8
Mendoza,2022,18.5
Mendoza,2023,18.1
Mendoza,2024,18.6
Mendoza,2025,18.0
Mendoza,2026,17.8
San Rafael,2021,18.9
San Rafael,2022,18.3
San Rafael,2023,18.9
San Rafael,2024,19.9
San Rafael,2025,18.3
San Rafael,2026,18.5
Godoy Cruz,2021,18.2
Godoy Cruz,2022,18.4
Godoy Cruz,2023,18.4
Godoy Cruz,2024,17.8
Godoy Cruz,2025,18.5
Godoy Cruz,2026,17.7
San Martín,2021,16.2
San Martín,2022,17.7
San Martín,2023,16.3
San Martín,2024,16.9
San Martín,2025,17.0
San Martín,2026,16.1
Tunuyán,2021,17.0
Tunuyán,2022,16.2
Tunuyán,2023,16.3
Tunuyán,2024,17.0
Tunuyán,2025,16.8
Tunuyán,2026,17.5
