localidad,año,temperatura
Posadas,2021,20.5
Posadas,2022,20.4
Posadas,2023,21.2
Posadas,2024,20.9
Posadas,2025,21.2
Posadas,2026,21.3
Oberá,2021,19.5
Oberá,2022,20.6
Oberá,2023,20.4
Oberá,2024,20.8
Oberá,2025,19.1
Oberá,2026,20.0
Eldorado,2021,21.0
Eldorado,2022,21.2
Eldorado,2023,21.3
Eldorado,2024,21.3
Eldorado,2025,21.4
Eldorado,2026,22.0
Puerto Iguazú,2021,22.3
Puerto Iguazú,2022,22.0
Puerto Iguazú,2023,21.7
Puerto Iguazú,2024,21.6
Puerto Iguazú,2025,22.0
Puerto Iguazú,2026,22.4
San Ignacio,2021,22.0
San Ignacio,2022,22.1
San Ignacio,2023,22.7
San Ignacio,2024,21.0
San Ignacio,2025,21.5
San Ignacio,2026,21.1
