localidad,año,temperatura
Neuquén,2021,15.9
Neuquén,2022,17.4
Neuquén,2023,17.1
Neuquén,2024,15.3
Neuquén,2025,16.0
Neuquén,2026,15.0
San Martín de los Andes,2021,15.2
San Martín de los Andes,2022,15.1
San Martín de los Andes,2023,13.4
San Martín de los Andes,2024,14.4
San Martín de los Andes,2025,14.3
San Martín de los Andes,2026,13.0
Zapala,2021,15.3
Zapala,2022,14.6
Zapala,2023,15.3
Zapala,2024,14.6
Zapala,2025,13.0
Zapala,2026,14.0
Cutral Co,2021,14.6
Cutral Co,2022,17.3
Cutral Co,2023,17.1
Cutral Co,2024,17.0
Cutral Co,2025,15.4
Cutral Co,2026,14.7
Villa La Angostura,2021,17.1
Villa La Angostura,2022,17.3
Villa La Angostura,2023,14.8
Villa La Angostura,2024,16.0
Villa La Angostura,2025,14.7
Villa La Angostura,2026,16.8
