localidad,año,temperatura
Viedma,2021,11.2
Viedma,2022,11.0
Viedma,2023,11.5
Viedma,2024,12.3
Viedma,2025,11.0
Viedma,2026,12.0
Bariloche,2021,16.9
Bariloche,2022,16.6
Bariloche,2023,16.1
Bariloche,2024,16.8
Bariloche,2025,15.4
Bariloche,2026,15.5
General Roca,2021,15.4
General Roca,2022,14.7
General Roca,2023,14.1
General Roca,2024,14.3
General Roca,2025,15.1
General Roca,2026,15.6
Cipolletti,2021,13.2
Cipolletti,2022,13.5
Cipolletti,2023,12.9
Cipolletti,2024,12.1
Cipolletti,2025,12.5
Cipolletti,2026,12.0
Villa Regina,2021,15.8
Villa Regina,2022,15.1
Villa Regina,2023,14.8
Villa Regina,2024,15.2
Villa Regina,2025,14.7
Villa Regina,2026,14.0
