localidad,año,temperatura
Salta,2021,21.0
Salta,2022,20.0
Salta,2023,21.0
Salta,2024,21.6
Salta,2025,20.8
Salta,2026,20.5
San José de Metán,2021,19.9
San José de Metán,2022,19.7
San José de Metán,2023,19.3
San José de Metán,2024,18.0
San José de Metán,2025,19.9
San José de Metán,2026,18.9
Tartagal,2021,21.4
Tartagal,2022,21.0
Tartagal,2023,20.2
Tartagal,2024,21.6
Tartagal,2025,21.1
Tartagal,2026,21.2
Orán,2021,19.9
Orán,2022,19.8
Orán,2023,19.3
Orán,2024,20.9
Orán,2025,20.5
Orán,2026,19.7
Cafayate,2021,18.7
Cafayate,2022,18.7
Cafayate,2023,17.2
Cafayate,2024,18.2
Cafayate,2025,18.9
Cafayate,2026,18.2
