localidad,año,temperatura
San Juan,2021,17.9
San Juan,2022,17.7
San Juan,2023,16.4
San Juan,2024,17.6
San Juan,2025,17.6
San Juan,2026,17.7
Rawson,2021,18.5
Rawson,2022,17.3
Rawson,2023,17.7
Rawson,2024,17.5
Rawson,2025,18.3
Rawson,2026,18.8
Chimbas,2021,18.9
Chimbas,2022,19.5
Chimbas,2023,19.6
Chimbas,2024,18.5
Chimbas,2025,18.5
Chimbas,2026,18.9
Villa Krause,2021,18.4
Villa Krause,2022,19.6
Villa Krause,2023,19.9
Villa Krause,2024,18.2
Villa Krause,2025,18.7
Villa Krause,2026,19.0
Santa Lucía,2021,19.7
Santa Lucía,2022,19.8
Santa Lucía,2023,18.3
Santa Lucía,2024,19.8
Santa Lucía,2025,19.4
Santa Lucía,2026,18.6
