localidad,año,temperatura
San Luis,2021,18.4
San Luis,2022,17.1
San Luis,2023,18.6
San Luis,2024,17.2
San Luis,2025,18.2
San Luis,2026,17.3
Villa Mercedes,2021,18.0
Villa Mercedes,2022,17.8
Villa Mercedes,2023,18.5
Villa Mercedes,2024,18.3
Villa Mercedes,2025,18.0
Villa Mercedes,2026,18.6
Merlo,2021,16.0
Merlo,2022,17.2
Merlo,2023,17.2
Merlo,2024,17.2
Merlo,2025,17.3
Merlo,2026,17.0
Villa de la Quebrada,2021,18.8
Villa de la Quebrada,2022,18.8
Villa de la Quebrada,2023,17.0
Villa de la Quebrada,2024,18.6
Villa de la Quebrada,2025,18.5
Villa de la Quebrada,2026,17.1
Justo Daract,2021,18.1
Justo Daract,2022,19.0
Justo Daract,2023,18.7
Justo Daract,2024,19.9
Justo Daract,2025,19.0
Justo Daract,2026,18.0
