localidad,año,temperatura
Río Gallegos,2021,6.6
Río Gallegos,2022,5.1
Río Gallegos,2023,5.1
Río Gallegos,2024,6.4
Río Gallegos,2025,5.6
Río Gallegos,2026,6.4
Caleta Olivia,2021,4.1
Caleta Olivia,2022,5.4
Caleta Olivia,2023,4.8
Caleta Olivia,2024,5.7
Caleta Olivia,2025,5.0
Caleta Olivia,2026,4.5
El Calafate,2021,4.5
El Calafate,2022,4.9
El Calafate,2023,3.2
El Calafate,2024,4.3
El Calafate,2025,3.7
El Calafate,2026,3.9
Perito Moreno,2021,3.8
Perito Moreno,2022,4.3
Perito Moreno,2023,4.3
Perito Moreno,2024,3.8
Perito Moreno,2025,4.2
Perito Moreno,2026,3.6
Gobernador Gregores,2021,4.9
Gobernador Gregores,2022,3.0
Gobernador Gregores,2023,4.8
Gobernador Gregores,2024,4.4
Gobernador Gregores,2025,4.5
Gobernador Gregores,2026,3.6
