localidad,año,temperatura
Santa Fe,2021,17.7
Santa Fe,2022,16.4
Santa Fe,2023,16.6
Santa Fe,2024,17.0
Santa Fe,2025,16.3
Santa Fe,2026,17.0
Rosario,2021,15.9
Rosario,2022,16.0
Rosario,2023,15.5
Rosario,2024,16.5
Rosario,2025,16.9
Rosario,2026,16.7
Rafaela,2021,15.5
Rafaela,2022,16.6
Rafaela,2023,15.7
Rafaela,2024,15.1
Rafaela,2025,15.4
Rafaela,2026,15.0
Venado Tuerto,2021,18.0
Venado Tuerto,2022,18.2
Venado Tuerto,2023,19.0
Venado Tuerto,2024,19.2
Venado Tuerto,2025,18.3
Venado Tuerto,2026,19.1
Reconquista,2021,18.8
Reconquista,2022,19.4
Reconquista,2023,18.4
Reconquista,2024,18.9
Reconquista,2025,19.1
Reconquista,2026,19.8
