localidad,año,temperatura
Santiago del Estero,2021,12.5
Santiago del Estero,2022,11.5
Santiago del Estero,2023,12.5
Santiago del Estero,2024,11.6
Santiago del Estero,2025,11.6
Santiago del Estero,2026,11.2
La Banda,2021,12.2
La Banda,2022,11.9
La Banda,2023,12.6
La Banda,2024,12.7
La Banda,2025,12.1
La Banda,2026,11.3
Termas de Río Hondo,2021,16.2
Termas de Río Hondo,2022,16.4
Termas de Río Hondo,2023,16.4
Termas de Río Hondo,2024,16.8
Termas de Río Hondo,2025,16.0
Termas de Río Hondo,2026,16.2
Añatuya,2021,15.0
Añatuya,2022,16.1
Añatuya,2023,15.0
Añatuya,2024,15.8
Añatuya,2025,15.1
Añatuya,2026,16.8
Frías,2021,12.7
Frías,2022,12.5
Frías,2023,12.5
Frías,2024,11.5
Frías,2025,12.5
Frías,2026,12.4
