localidad,año,temperatura
San Miguel de Tucumán,2021,18.3
San Miguel de Tucumán,2022,18.2
San Miguel de Tucumán,2023,19.2
San Miguel de Tucumán,2024,18.3
San Miguel de Tucumán,2025,19.3
San Miguel de Tucumán,2026,20.2
Concepción,2021,17.7
Concepción,2022,17.2
Concepción,2023,19.5
Concepción,2024,18.0
Concepción,2025,16.8
Concepción,2026,16.6
Tafí Viejo,2021,16.3
Tafí Viejo,2022,17.9
Tafí Viejo,2023,18.4
Tafí Viejo,2024,17.3
Tafí Viejo,2025,16.2
Tafí Viejo,2026,17.1
Tafí del Valle,2021,20.0
Tafí del Valle,2022,18.6
Tafí del Valle,2023,19.9
Tafí del Valle,2024,19.6
Tafí del Valle,2025,17.0
Tafí del Valle,2026,19.2
Lules,2021,18.5
Lules,2022,18.1
Lules,2023,17.3
Lules,2024,18.4
Lules,2025,16.8
Lules,2026,17.8
